warden_id,first_name,last_name,email_address,role_id,status_id,start_date,end_date,clearance_id
1,Sara,Elb,sara@email.com,1,1,2026-01-04,,1
2,Rami,Haddad,rami@email.com,2,2,2026-03-14,,2
3,Kora,Lane,kora@email.com,3,3,2026-02-24,2026-03-30,3
4,Nina,Reed,nina@email.com,4,4,2026-01-03,,2
5,Philip,Stone,philip@email.com,5,5,2026-03-29,,2
6,Logan,Gray,logan@email.com,2,1,2026-04-15,,3
7,Delilah,Moore,delilah@email.com,5,1,2026-04-01,,1
8,Maggie,Rivera,magui@email.com,3,5,2026-03-06,,2
9,Robert,King,robert@email.com,2,2,2026-02-12,,2
10,Mike,Stone,mike@email.com,2,3,2026-01-25,2026-03-01,3
11,Lena,Park,lena@email.com,1,1,2026-02-01,,1
12,Omar,Saleh,omar@email.com,4,2,2026-02-18,,2
13,Jade,Lin,jade@email.com,3,1,2026-03-10,,3
14,Noah,Brooks,noah@email.com,5,4,2026-01-20,,1
15,Maya,Stone,maya@email.com,2,5,2026-04-02,,2
16,Elias,Hart,elias@email.com,1,1,2026-03-22,,1
17,Ava,Reed,ava@email.com,4,2,2026-02-09,,3
18,Zane,Carter,zane@email.com,3,3,2026-01-11,2026-04-01,2
19,Iris,Bell,iris@email.com,5,1,2026-04-12,,1
20,Theo,Grant,theo@email.com,2,4,2026-03-05,,3
